,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
324,21049,933,6313,MAGDALENA,28335,48,PIVIJAY,84,7378,7246
325,21052,3303,6312,MAGDALENA,39220,92,PLATO,98,9805,9615
326,21055,1920,1957,MAGDALENA,20274,108,PUEBLOVIEJO,37,4022,3877
327,21058,200,1716,MAGDALENA,7037,12,REMOLINO,15,1943,1916
328,21067,557,738,MAGDALENA,7454,8,SALAMINA,10,1313,1295
329,21079,764,1649,MAGDALENA,17808,88,SITIONUEVO,19,2520,2413
330,21085,438,2469,MAGDALENA,9842,28,TENERIFE,39,2974,2907
331,21090,489,2119,MAGDALENA,7739,19,ZAPAYAN,21,2648,2608
332,23007,1268,1298,NARIÑO,5756,38,ALDANA,52,2656,2566
333,23010,631,1683,NARIÑO,7235,32,ANCUYA,35,2381,2314
334,23016,1063,3159,NARIÑO,20859,76,BARBACOAS,63,4361,4222
335,23017,934,1418,NARIÑO,5328,35,BELEN,32,2419,2352
336,23019,2914,2921,NARIÑO,16930,85,BUESACO,109,6029,5835
337,23038,1427,2377,NARIÑO,9510,43,CHACHAGUI,50,3897,3804
338,23025,1434,1969,NARIÑO,8497,55,CONSACA,83,3541,3403
339,23028,903,1036,NARIÑO,5544,23,CONTADERO,25,1987,1939
340,23031,1301,2138,NARIÑO,10104,72,CORDOBA,53,3564,3439
341,23037,3085,5421,NARIÑO,23407,131,CUMBAL,216,8853,8506
342,23039,299,2119,NARIÑO,6203,19,CUMBITARA,25,2462,2418
343,23049,737,1575,NARIÑO,5549,38,FUNES,31,2381,2312
344,23052,1938,2511,NARIÑO,14068,54,GUACHUCAL,78,4581,4449
345,23055,800,2255,NARIÑO,10811,51,GUAITARILLA,47,3153,3055
346,23058,932,1404,NARIÑO,5077,15,GUALMATAN,32,2383,2336
347,23061,857,1430,NARIÑO,6900,37,ILES,45,2369,2287
348,23064,912,1156,NARIÑO,6314,33,IMUES,28,2129,2068
349,23067,15842,15864,NARIÑO,92217,617,IPIALES,503,32826,31706
350,23080,277,2605,NARIÑO,7254,47,LEIVA,44,2973,2882
351,23082,452,3047,NARIÑO,8485,69,LINARES,64,3632,3499
352,23094,224,1975,NARIÑO,5897,13,MOSQUERA,22,2234,2199
353,23096,649,988,NARIÑO,4120,15,NARIÑO,21,1673,1637
354,23097,637,1102,NARIÑO,5668,38,OSPINA,26,1803,1739
355,23001,41981,70354,NARIÑO,279784,501,PASTO,1505,114341,112335
356,23098,461,3690,NARIÑO,9537,55,POLICARPA,51,4257,4151
357,23100,1809,1590,NARIÑO,9425,48,POTOSI,63,3510,3399
358,23101,228,1586,NARIÑO,4259,50,PROVIDENCIA,26,1890,1814
